role,name,team
student,0-yibai,CS2103T-T08-2
student,nigel27022001,CS2103T-T08-2
student,dabzpengu,CS2103T-T08-3
student,ZHANGTIANYAO1,CS2103T-T08-3
student,Dexter-Wong,CS2103T-T08-3
student,Lalelulilulela,CS2103T-T08-3
student,ashleyy2444,CS2103T-T08-3
student,willowisp01,CS2103T-T09-1
student,ronnnnnnnnn,CS2103T-T09-1
student,JiaXinEu,CS2103T-T09-1
student,Wongqingyee,CS2103T-T09-1
student,yashma-sonara,CS2103T-T09-1
student,rertyy,CS2103T-T09-2
student,Jaspertzx,CS2103T-T09-2
student,kailinteoo,CS2103T-T09-2
student,shavonneg,CS2103T-T09-2
student,gerteck,CS2103T-T09-3
student,chaaaaun,CS2103T-T09-3
student,CJerrong,CS2103T-T09-3
student,soons1,CS2103T-T09-3
student,sdevih,CS2103T-T09-3
student,qinxutan,CS2103T-T09-4
student,Jajared,CS2103T-T09-4
student,whelan-low,CS2103T-T09-4
student,mahadhir247,CS2103T-T09-4
student,Zack-Tay,CS2103T-T09-4
student,Zer0Legion,CS2103T-T10-1
student,delishad21,CS2103T-T10-1
student,jayllo-c,CS2103T-T10-1
student,danielleloh,CS2103T-T10-1
student,Pughal77,CS2103T-T10-1
student,SampsonYe1999,CS2103T-T10-2
student,qinboan,CS2103T-T10-2
student,legionlegion,CS2103T-T10-2
student,chengjunyuan,CS2103T-T10-2
student,minreiseah,CS2103T-T10-2
student,taeewonnn,CS2103T-T10-3
student,ChocoRagdoll,CS2103T-T10-3
student,Apzure,CS2103T-T10-3
student,myang2020,CS2103T-T10-3
student,nusliuyifan,CS2103T-T10-3
student,Bandov,CS2103T-T11-1
student,Tsenrae,CS2103T-T11-1
student,ReflectiveObsidian,CS2103T-T11-1
student,DingBao-sys,CS2103T-T11-1
student,Emberlynn-Loo,CS2103T-T11-1
student,E0735389,CS2103T-T11-2
student,LargeCrowd,CS2103T-T11-2
student,ChillinRage,CS2103T-T11-2
student,reetmitra,CS2103T-T11-2
student,Hibeom0929,CS2103T-T11-2
student,peterXGD,CS2103T-T11-3
student,owenong1,CS2103T-T11-3
student,peienlim,CS2103T-T11-3
student,cleowenxuan,CS2103T-T11-3
student,jonpwk,CS2103T-T11-3
student,wongkj12,CS2103T-T11-4
student,yongkotaro,CS2103T-T11-4
student,yyccbb,CS2103T-T11-4
student,wang-xinrong,CS2103T-T11-4
student,kaitinghh,CS2103T-T11-4
student,yuechen2001,CS2103T-T12-1
student,tanguoyang,CS2103T-T12-1
student,maiyasaliha,CS2103T-T12-1
student,Teee728,CS2103T-T12-1
student,angsongyee,CS2103T-T12-1
student,kervyntan,CS2103T-T12-2
student,smolegz,CS2103T-T12-2
student,lynnetteeee,CS2103T-T12-2
student,AidenLYT,CS2103T-T12-2
student,RunjiaChen,CS2103T-T12-2
student,ChuaZenKhoon,CS2103T-T12-3
student,ShanylOng,CS2103T-T12-3
student,shunjieee,CS2103T-T12-3
student,tcjazwei,CS2103T-T12-3
student,ljy0422,CS2103T-T12-3
student,ondretann,CS2103T-T12-4
student,PateShin,CS2103T-T12-4
student,linnn-7,CS2103T-T12-4
student,DhiraPT,CS2103T-T12-4
student,nichee,CS2103T-T13-1
student,AndrewOng2066,CS2103T-T13-1
student,taniatsq,CS2103T-T13-1
student,faaheem13,CS2103T-T13-1
student,cocoanautz,CS2103T-T13-2
student,Xilef121,CS2103T-T13-2
student,jasperng-nus,CS2103T-T13-2
student,SherwynNg,CS2103T-T13-2
student,AjayArvind2207,CS2103T-T13-2
student,justincred,CS2103T-T13-3
student,ibnu2651,CS2103T-T13-3
student,Shauryan123,CS2103T-T13-3
student,kaiyi27,CS2103T-T13-3
student,billyhoce,CS2103T-T13-4
student,kokerinks,CS2103T-T13-4
student,kab-dot,CS2103T-T13-4
student,kinjalagarwal1810,CS2103T-T13-4
student,KiatLun,CS2103T-T14-1
student,wolffe88,CS2103T-T14-1
student,howen02,CS2103T-T14-1
student,yiwern5,CS2103T-T14-1
student,ziyi22,CS2103T-T14-1
student,S-Aishvarya,CS2103T-T14-2
student,Vision-2000,CS2103T-T14-2
student,jeong-jaeho,CS2103T-T14-2
student,jskimdev,CS2103T-T14-2
student,ararchch,CS2103T-T15-1
student,Kappaccinoh,CS2103T-T15-1
student,alfaloo,CS2103T-T15-1
student,Alteqa,CS2103T-T15-1
student,officialchengyud,CS2103T-T15-1
student,Ragnapop,CS2103T-T15-2
student,Rikko1204,CS2103T-T15-2
student,cheahTJ,CS2103T-T15-2
student,RingoftheKing,CS2103T-T15-2
student,hjuntan,CS2103T-T15-2
student,casaarlai,CS2103T-T15-3
student,triciiaaa,CS2103T-T15-3
student,brennalaurentan,CS2103T-T15-3
student,gavin331,CS2103T-T15-4
student,BryanL2303,CS2103T-T15-4
student,azumieflare,CS2103T-T15-4
student,johnyoozhengxian,CS2103T-T15-4
student,ValenciaLim,CS2103T-T16-1
student,dedsecrattle,CS2103T-T16-1
student,Li-Zizhen,CS2103T-T16-1
student,Austintjh19,CS2103T-T16-1
student,zhekaiii,CS2103T-T16-2
student,JerryO3,CS2103T-T16-2
student,alvinnzz,CS2103T-T16-2
student,NewtonKoh,CS2103T-T16-2
student,sun-ruiheng,CS2103T-T16-3
student,gavingoh99,CS2103T-T16-3
student,guanquann,CS2103T-T16-3
student,maze508,CS2103T-T16-3
student,Chiarena,CS2103T-T16-4
student,HusseinSafwan02,CS2103T-T16-4
student,leepoeaik,CS2103T-T16-4
student,justinlengch,CS2103T-T16-4
student,TheodoreKooo,CS2103T-T17-1
student,camille-readbean,CS2103T-T17-1
student,GiselleTan,CS2103T-T17-1
student,vannykin,CS2103T-T17-1
student,VatsalVitosh,CS2103T-T17-1
student,hjungwoo01,CS2103T-T17-2
student,quelinxiao,CS2103T-T17-2
student,PyromancerBoom,CS2103T-T17-2
student,shayaansultan,CS2103T-T17-2
student,dillontkh,CS2103T-T17-3
student,ruijietay,CS2103T-T17-3
student,jjchee77,CS2103T-T17-3
student,RyanNgWH,CS2103T-T17-3
student,bgopi23,CS2103T-T17-3
student,martinng01,CS2103T-T17-4
student,1rbg,CS2103T-T17-4
student,jxunze,CS2103T-T17-4
student,huekoh,CS2103T-T17-4
student,h4ow3i,CS2103T-T17-4
student,chiralcentre,CS2103T-W08-1
student,acekhoon,CS2103T-W08-1
student,leeweiming3,CS2103T-W08-1
student,logical-1985516,CS2103T-W08-1
student,0liverkong,CS2103T-W08-1
student,javierng2knus,CS2103T-W08-2
student,MaYuehan,CS2103T-W08-2
student,Ella-e,CS2103T-W08-2
student,SeaHogs,CS2103T-W08-2
student,wilsonwid,CS2103T-W08-3
student,tahsinhasem,CS2103T-W08-3
student,ChuaZiLong,CS2103T-W08-3
student,sarjinius,CS2103T-W08-3
student,ananya21,CS2103T-W08-4
student,Lin-Shuang-Shuang,CS2103T-W08-4
student,ThitipatC,CS2103T-W08-4
student,modembcc,CS2103T-W08-4
student,LimZiJia,CS2103T-W09-1
student,gosongying,CS2103T-W09-1
student,moguries,CS2103T-W09-1
student,GERARDJM018,CS2103T-W09-1
student,yeoshuheng,CS2103T-W09-2
student,dwangwk,CS2103T-W09-2
student,yespiggy,CS2103T-W09-2
student,menatahari,CS2103T-W09-2
student,ziiqii,CS2103T-W09-3
student,Tanzhiheng26,CS2103T-W09-3
student,zhuuyicheng,CS2103T-W09-3
student,KSSWSept20,CS2103T-W09-3
student,jimseah-0116,CS2103T-W09-4
student,rahhulleee,CS2103T-W09-4
student,irwynliong,CS2103T-W09-4
student,Greg-Tan,CS2103T-W09-4
student,youdonnnn,CS2103T-W09-4
student,appleraincoat,CS2103T-W10-1
student,jyztintan,CS2103T-W10-1
student,UdhayaShan1,CS2103T-W10-1
student,wapisai,CS2103T-W10-1
student,4llysa,CS2103T-W10-1
student,chiageng,CS2103T-W10-2
student,jannaleong,CS2103T-W10-2
student,Joshy837,CS2103T-W10-2
student,jamessinmaojun,CS2103T-W10-2
student,yleeyilin,CS2103T-W10-2
student,J-wang-CSMA,CS2103T-W10-3
student,IamZhenHong,CS2103T-W10-3
student,ongzhili,CS2103T-W10-3
student,wallacexuhanxiao,CS2103T-W10-3
student,doyelee0313,CS2103T-W10-4
student,tohlh,CS2103T-W10-4
student,STELLA-LYE,CS2103T-W10-4
student,jocelyn-soh,CS2103T-W10-4
student,jieqiboh,CS2103T-W11-1
student,theman-oj10,CS2103T-W11-1
student,HM33-Stu,CS2103T-W11-1
student,CaptainKeqing,CS2103T-W11-1
student,LWS49,CS2103T-W11-1
student,LifHoshi,CS2103T-W11-2
student,kenjin-work,CS2103T-W11-2
student,JuliaPoo,CS2103T-W11-2
student,chuahjiajie,CS2103T-W11-2
student,alphajae11,CS2103T-W11-2
student,cyqjoseph,CS2103T-W11-3
student,ChrysanthemumT,CS2103T-W11-3
student,zhenghuil,CS2103T-W11-3
student,jerremyng,CS2103T-W11-3
student,gauravuj,CS2103T-W11-3
student,ReganChoy,CS2103T-W12-1
student,solomonng2001,CS2103T-W12-1
student,yorklim,CS2103T-W12-1
student,getsquared,CS2103T-W12-1
student,blaukc,CS2103T-W12-2
student,yadunut,CS2103T-W12-2
student,taufiq,CS2103T-W12-2
student,AdityaB4,CS2103T-W12-2
student,rizkidelta,CS2103T-W12-3
student,aureliony,CS2103T-W12-3
student,yisiox,CS2103T-W12-3
student,bryanyee33,CS2103T-W12-3
student,darkvoid32,CS2103T-W12-3
student,pjanthony2001,CS2103T-W12-4
student,Jolonauh,CS2103T-W12-4
student,Rishit02,CS2103T-W12-4
student,tejas-1405,CS2103T-W12-4
student,eliotlee68,CS2103T-W12-4
student,xiaorui-ui,CS2103T-W13-1
student,kjw142857,CS2103T-W13-1
student,Joseph31416,CS2103T-W13-1
student,marcus-ny,CS2103T-W13-1
student,narwhalsilent,CS2103T-W13-1
student,Derekljh,CS2103T-W13-2
student,The-Dudeski,CS2103T-W13-2
student,miffi,CS2103T-W13-2
student,radeon2525,CS2103T-W13-2
student,JukeBoxK,CS2103T-W13-2
student,Cedricaca,CS2103T-W13-3
student,HongRay,CS2103T-W13-3
student,ChenXy128,CS2103T-W13-3
student,Xuyan0518,CS2103T-W13-3
student,NusMinato,CS2103T-W13-3
student,nobodyishappy,CS2103T-W13-4
student,breezetall,CS2103T-W13-4
student,Kaya3842,CS2103T-W13-4
student,chin-herng,CS2103T-W13-4
student,Yskie,CS2103T-W13-4
students,chunweii,dev-team
students,vigneshsankariyer1234567890,dev-team
students,cheehongw,dev-team
students,luminousleek,dev-team
students,itsyme,dev-team
students,MadLamprey,dev-team
students,nknguyenhc,dev-team
students,NereusWB922,dev-team
students,Arif-Khalid,dev-team
student,damithc,teaching-team
